Year,W,L,T,Playoffs,PF,PA,PD
2020,4,11,1,0,334,418,-84
2019,9,7,0,1,385,354,31
2018,9,7,0,2,367,348,19
2017,13,3,0,5,457,295,162
2016,7,9,0,0,367,331,36
2015,7,9,0,0,377,430,-53
2014,10,6,0,0,474,400,74
2013,10,6,0,1,442,382,60
2012,4,12,0,0,280,444,-164
2011,8,8,0,0,396,328,68
2010,10,6,0,1,439,377,62
2009,11,5,0,1,429,337,92
2008,9,6,1,3,416,289,127
2007,8,8,0,0,336,300,36
2006,10,6,0,2,398,328,70
2005,6,10,0,0,310,388,-78
2004,13,3,0,4,386,260,126
2003,12,4,0,3,374,287,87
2002,12,4,0,3,415,241,174
2001,11,5,0,3,343,208,135
2000,11,5,0,2,351,245,106
1999,5,11,0,0,272,357,-85
1998,3,13,0,0,161,344,-183
1997,6,9,1,0,317,372,-55
1996,10,6,0,1,363,341,22
1995,10,6,0,2,318,338,-20
1994,7,9,0,0,308,308,0
1993,8,8,0,0,293,315,-22
1992,11,5,0,2,354,245,109
1991,10,6,0,0,285,244,41
1990,10,6,0,1,396,299,97
1989,11,5,0,1,342,274,68
1988,10,6,0,2,379,319,60
1987,7,8,0,0,337,380,-43
1986,5,10,1,0,256,312,-56
1985,7,9,0,0,286,310,-24
1984,6,9,1,0,278,320,-42
1983,5,11,0,0,233,322,-89
1982,3,6,0,0,191,195,-4
1981,10,6,0,1,368,221,147
1980,12,4,0,4,384,222,162
1979,11,5,0,2,339,282,57
1978,9,7,0,1,270,250,20
1977,5,9,0,0,220,207,13
1976,4,10,0,0,165,286,-121
1975,4,10,0,0,225,302,-77
1974,7,7,0,0,242,217,25
1973,5,8,1,0,310,393,-83
1972,2,11,1,0,145,352,-207
1971,6,7,1,0,221,302,-81
1970,3,10,1,0,241,332,-91
1969,4,9,1,0,279,377,-98
1968,2,12,0,0,202,351,-149
1967,6,7,1,0,351,409,-58
1966,9,5,0,0,326,340,-14
1965,5,9,0,0,363,359,4
1964,6,8,0,0,312,313,-1
1963,2,10,2,0,242,381,-139
1962,3,10,1,0,282,356,-74
1961,10,4,0,0,361,297,64
1960,10,2,0,5,321,246,75
1959,7,5,0,0,268,278,-10
1958,2,9,1,0,235,306,-71
1957,4,8,0,0,173,230,-57
1956,3,8,1,0,143,215,-72
1955,4,7,1,0,248,231,17
1954,7,4,1,0,284,230,54
1953,7,4,1,0,352,215,137
1952,7,5,0,0,252,271,-19
1951,4,8,0,0,234,264,-30
1950,6,6,0,0,254,141,113
1949,11,1,0,5,364,134,230
1948,9,2,1,5,376,156,220
1947,8,4,0,4,308,242,66
1946,6,5,0,0,231,220,11
1945,7,3,0,0,272,133,139
1944,7,1,2,0,267,131,136
1943,5,4,1,0,225,230,-5
1942,2,9,0,0,134,239,-105
1941,2,8,1,0,119,218,-99
1940,1,10,0,0,111,211,-100
1939,1,9,1,0,105,200,-95
1938,5,6,0,0,154,164,-10
1937,2,8,1,0,86,177,-91
1936,1,11,0,0,51,206,-155
1935,2,9,0,0,60,179,-119
1934,4,7,0,0,127,85,42
1933,3,5,1,0,77,158,-81
