Andy Reid,1999,2012,224,130,93,1
Bert Bell+,1936,1940,56,10,44,2
Buck Shaw,1958,1960,36,19,16,1
Buddy Ryan,1986,1990,79,43,35,1
Chip Kelly,2013,2015,47,26,21,0
Dick Vermeil,1976,1982,101,54,47,0
Doug Pederson,2016,2020,80,42,37,1
Greasy Neale+,1941,1950,111,63,43,5
Hugh Devore,1956,1957,24,7,16,1
Jerry Williams,1969,1972,31,7,22,2
Jim Trimble,1952,1955,48,25,20,3
Joe Kuharich,1964,1968,70,28,41,1
Lud Wray,1933,1935,31,9,21,1
Marion Campbell,1983,1985,47,17,29,1
Mike McCormack+,1973,1975,42,16,25,1
Nick Skorich,1961,1963,42,15,24,3
Ray Rhodes,1995,1998,64,29,34,1
Rich Kotite,1991,1994,64,36,28,0
Wayne Millner+,1951,1951,10,2,8,0
